instr,TP,LT,ports
lock adc-mem,1.75,None,"(1.75,0.75,0.8333333333333333,0.8333333333333333,1.0,0.75,1.75,0.3333333333333333)"
lock adc-mem_r32,1.75,None,"(1.75,0.75,0.8333333333333333,0.8333333333333333,1.0,0.75,1.75,0.3333333333333333)"
lock adcl-mem_r32,1.75,None,"(1.75,0.75,0.8333333333333333,0.8333333333333333,1.0,0.75,1.75,0.3333333333333333)"
lock adc-mem_r64,1.75,None,"(1.75,0.75,0.8333333333333333,0.8333333333333333,1.0,0.75,1.75,0.3333333333333333)"
lock adcq-mem_r64,1.75,None,"(1.75,0.75,0.8333333333333333,0.8333333333333333,1.0,0.75,1.75,0.3333333333333333)"
cmpsb-,1.0,None,"(0.5833333333333333,0.25,1.0,1.0,0.0,0.5833333333333333,0.5833333333333333,0.0)"
cmpsd-,1.0,None,"(0.8333333333333333,0.5,1.0,1.0,0.0,0.8333333333333333,0.8333333333333333,0.0)"
setb-mem,1.0,None,"(0.5,0.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.5,0.3333333333333333)"
setb-r8,0.5,None,"(0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0)"
setl-mem,1.0,None,"(0.5,0.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.5,0.3333333333333333)"
setl-r8,0.5,None,"(0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0)"
setlb-r8,0.5,None,"(0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0)"
seto-mem,1.0,None,"(0.5,0.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.5,0.3333333333333333)"
seto-r8,0.5,None,"(0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0)"
setob-r8,0.5,None,"(0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0)"
bsr-mem,1.0,None,"(0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0)"
bsr-r32_mem,1.0,None,"(0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0)"
